strain	accession	date	date_submitted		clade_membership	host	country	recency	lineage	region	author		GA_CT_fraction	dinuc_context_fraction
MPX/Human/USA/CA-LACPHL-MA00104/2022	OP539889	8/11/22	9/27/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J.M."		1	
MPXV/Germany/2022/RKI549	OP715829	6/30/22	10/25/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		0.5	
RNA	OX261748	7/13/22	8/7/22		IIb	Homo sapiens	Slovakia	Older		Europe				
Monkeypox/PT0332/2022	OP414363	5/27/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MpxV/human/CAN/UN-NML-3344/2022	ON880541	6/1/22	6/30/22		IIb	Homo sapiens	Canada	Older		North America	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J."		1	1
MPXV/Human/USA/CA-LACPHL-MA00359/2022	OP920697	11/5/22	11/30/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J."			
INMI-Pt2	ON745215	5/19/22	6/13/22		IIb	Homo sapiens	Italy	Older		Europe	"Giombini,E., Gruber,C.E.M., Rueca,M., Gramigna,G., VIta,S., Carletti,F., D'Abramo,A., Lapa,D., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Garbuglia,A.R., Nicastri,E., Antinori,A., GIrardi,E., Maggi,F."			
MPXV/Germany/2022/ON/RKI306	OP355566	8/1/22	9/2/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
MPXV/Human/USA/CA-LACPHL-MA00354/2022	OP920692	10/16/22	11/30/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J."		0.9	
MpxV/Spain/MD-HGUGM-66649483/2022	ON745225	5/27/22	6/13/22		IIb	Homo sapiens	Spain	Older		Europe	"Buenestado-Serrano,S., Palomino-Cabrera,R., Penas-Utrilla,D., Rodriguez-Grande,J., Sola Campoy,P., Perez-Lago,L., Rodriguez-Grande,C., Herranz Martin,M., Suarez,J., Catalan,P., Munoz,P., Garcia de Viedma,D."		1	
